Dragonfly by Dennis James Stelmach following the Dragonfly book available at https://dragonfly.wpi.edu/book/
      | 00:46:57.968 | LogManager       | Started.
      | 00:46:58.382 | DisplayManager   | Started.
      | 00:46:58.382 | DisplayManager   | Size of window: 1024px x 768px.
      | 00:46:58.382 | WorldManager     | Started.
      | 00:46:58.382 | WorldManager     | Size of world: 80.000000 x 30.000000.
      | 00:46:58.383 | WorldManager     | Size of viewable area: 80.000000 x 30.000000.
      | 00:46:58.383 | WorldManager     | Top-left corner of world: 0.000000 0.000000.
      | 00:46:58.383 | InputManager     | Started.
      | 00:46:58.383 | GameManager      | Started.
      | 00:46:58.407 | ResourceManager  | Started.
      | 00:46:58.407 | ResourceManager  | Loading sprite 'good-spr'.
      | 00:46:58.407 | ResourceManager  | Loading file 'sprites/good-spr.txt'.
      | 00:46:58.408 | ResourceManager  | Sprite 'good-spr' loaded.
      | 00:46:58.408 | ResourceManager  | Loading sprite 'bad-spr'.
      | 00:46:58.408 | ResourceManager  | Loading file 'sprites/bad-spr.txt'.
ERROR | 00:46:58.408 | ResourceManager  | Error loading sprite frame: Frame does not exist.
ERROR | 00:46:58.408 | ResourceManager  | Error loading bad-spr sprite: 1 frame not declared properly in BODY
ALERT | 00:46:58.408 | ResourceManager  | Sprite 'bad-spr' not loaded.
      | 00:46:58.408 | ResourceManager  | Loading sprite 'nan-spr'.
      | 00:46:58.408 | ResourceManager  | Loading file 'sprites/nan-spr.txt'.
ERROR | 00:46:58.408 | ResourceManager  | Error opening 'nan-spr' sprite from file 'sprites/nan-spr.txt'.
ALERT | 00:46:58.408 | ResourceManager  | Sprite 'nan-spr' not loaded.
      | 00:46:58.408 | ResourceManager  | Loading sprite 'good-spr'.
ERROR | 00:46:58.408 | ResourceManager  | Cannot load sprite with label 'good-spr'. 'good-spr' already loaded.
      | 00:46:58.408 | ResourceManager  | Loading sound 'explode'
      | 00:46:58.411 | ResourceManager  | Sound 'explode' loaded.
      | 00:46:58.411 | ResourceManager  | Loading sound 'fire'
      | 00:46:58.413 | ResourceManager  | Sound 'fire' loaded.
      | 00:46:58.413 | ResourceManager  | Loading sound 'game-over'
      | 00:46:58.428 | ResourceManager  | Sound 'game-over' loaded.
      | 00:46:58.428 | ResourceManager  | Loading sound 'nuke'
      | 00:46:58.435 | ResourceManager  | Sound 'nuke' loaded.
      | 00:46:58.435 | ResourceManager  | Loading music 'start_music'
      | 00:46:58.435 | ResourceManager  | Music 'start_music' loaded.
      | 00:46:58.435 | ResourceManager  | Loading sound 'explode'
ALERT | 00:46:58.435 | ResourceManager  | Cannot load sound with label 'explode'. 'explode' already loaded.
      | 00:46:58.435 | ResourceManager  | Loading sound 'start_music'
      | 00:46:58.526 | ResourceManager  | Sound 'start_music' loaded.
      | 00:46:58.526 | ResourceManager  | Loading sound 'abc'
ERROR | 00:46:58.527 | Sound            | Error loading sound from file 'sounds/abc.wav'
ALERT | 00:46:58.527 | ResourceManager  | Unable to load sound 'abc' from file 'sounds/abc.wav'.
      | 00:46:58.527 | ResourceManager  | Loading music 'abc'
ERROR | 00:46:58.527 | Music            | Error loading music from file 'sounds/abc.wav'
ALERT | 00:46:58.527 | ResourceManager  | Unable to load music 'abc' from file 'sounds/abc.wav'.
ALERT | 00:46:58.527 | Object 0         | Can now recieve events of type 'df::step'.
      | 00:46:58.527 | Object 0         | Spawned. Awaiting sprite or manual insert for world insertion.
      | 00:46:58.528 | TestObject 0     | Renamed TestObject.
      | 00:46:58.528 | TestObject 0     | Sprite set to 'good-spr'.
      | 00:46:58.528 | SceneGraph       | Inserting object 'TestObject 0'
